    0,  255,  255,  255,    0,    0,    0,    0,    0,    0
    1,  255,    0,    0,  255,    0,    0,  255,    0,    0
    0,    0,  255,  255,  255,    0,    0,    0,    0,    0
    1,    0,  255,    0,  255,    0,    0,  255,    0,    0
    0,  255,  255,    0,    0,    0,  255,    0,    0,    0
    1,  255,    0,    0,  255,    0,    0,    0,  255,    0
    0,  255,    0,    0,    0,  255,  255,    0,    0,    0
    1,  255,    0,    0,    0,  255,    0,    0,  255,    0
    0,    0,    0,  255,  255,  255,    0,    0,    0,    0
    1,    0,  255,    0,    0,  255,    0,  255,    0,    0
    0,    0,    0,    0,  255,  255,  255,    0,    0,    0
    1,    0,  255,    0,    0,  255,    0,    0,  255,    0
    0,    0,    0,    0,    0,  255,  255,  255,    0,    0
    1,    0,    0,  255,    0,  255,    0,    0,  255,    0
    0,    0,    0,    0,  255,  255,    0,    0,    0,  255
    1,    0,  255,    0,    0,  255,    0,    0,    0,  255
    0,    0,    0,    0,  255,    0,    0,    0,  255,  255
    1,    0,  255,    0,    0,    0,  255,    0,    0,  255
    0,    0,    0,    0,    0,    0,  255,  255,  255,    0
    1,    0,    0,  255,    0,    0,  255,    0,  255,    0
    0,    0,    0,    0,    0,    0,    0,  255,  255,  255
    1,    0,    0,  255,    0,    0,  255,    0,    0,  255
    0,  177,  244,  247,    0,    0,    0,    0,    0,    0
    1,  213,    0,    0,  227,    0,    0,  182,    0,    0
    0,    0,  187,  215,  137,    0,    0,    0,    0,    0
    1,    0,  154,    0,  132,    0,    0,  238,    0,    0
    0,  228,  203,    0,    0,    0,  194,    0,    0,    0
    1,  142,    0,    0,  141,    0,    0,    0,  157,    0
    0,  202,    0,    0,    0,  194,  220,    0,    0,    0
    1,  141,    0,    0,    0,  198,    0,    0,  240,    0
    0,    0,    0,  218,  170,  251,    0,    0,    0,    0
    1,    0,  139,    0,    0,  196,    0,  223,    0,    0
    0,    0,    0,    0,  173,  197,  130,    0,    0,    0
    1,    0,  152,    0,    0,  204,    0,    0,  190,    0
    0,    0,    0,    0,    0,  178,  168,  227,    0,    0
    1,    0,    0,  218,    0,  141,    0,    0,  160,    0
    0,    0,    0,    0,  128,  227,    0,    0,    0,  149
    1,    0,  160,    0,    0,  227,    0,    0,    0,  229
    0,    0,    0,    0,  243,    0,    0,    0,  142,  135
    1,    0,  148,    0,    0,    0,  197,    0,    0,  218
    0,    0,    0,    0,    0,    0,  215,  235,  246,    0
    1,    0,    0,  243,    0,    0,  133,    0,  149,    0
    0,    0,    0,    0,    0,    0,    0,  170,  243,  221
    1,    0,    0,  136,    0,    0,  236,    0,    0,  175
    0,  149,  149,  159,    0,    0,    0,    0,    0,    0
    1,  226,    0,    0,  169,    0,    0,  254,    0,    0
    0,    0,  212,  218,  143,    0,    0,    0,    0,    0
    1,    0,  208,    0,  169,    0,    0,  202,    0,    0
    0,  217,  180,    0,    0,    0,  183,    0,    0,    0
    1,  198,    0,    0,  233,    0,    0,    0,  243,    0
    0,  139,    0,    0,    0,  203,  196,    0,    0,    0
    1,  173,    0,    0,    0,  254,    0,    0,  208,    0
